importance,pruning_ratio,params,top1,top5,elapsed_s
baseline,0.0,25557032,0.371,0.6125,2.6332524579993333
magnitude,0.3,12635392,0.0035,0.0185,1.6601962690037908
magnitude,0.5,6917640,0.0,0.0,1.2174836100020912
magnitude,0.7,2619880,0.0,0.0,0.9110551489939098
group_magnitude,0.3,12635392,0.0035,0.0185,1.614788803999545
group_magnitude,0.5,6917640,0.0,0.0,1.1878174950034008
group_magnitude,0.7,2619880,0.0,0.0,0.8432392660033656
lamp,0.3,12635392,0.0035,0.0185,1.6946129179996205
lamp,0.5,6917640,0.0,0.0,1.2026327999992645
lamp,0.7,2619880,0.0,0.0,0.9419141599937575
fpgm,0.3,12635392,0.002,0.022,1.917101074999664
fpgm,0.5,6917640,0.0,0.005,1.5764195070005371
fpgm,0.7,2619880,0.0,0.0155,1.2095722890007892
taylor,0.3,12635392,0.0,0.0,3.6094700710018515
taylor,0.5,6917640,0.0,0.0,3.1014444359971094
taylor,0.7,2619880,0.0,0.0,2.9116093730044668
hessian,0.3,12635392,0.002,0.019,3.7425306599980104
hessian,0.5,6917640,0.0,0.005,2.9902499610034283
hessian,0.7,2619880,0.0,0.0,2.6931656379965716
