importance,pruning_ratio,params,top1,top5,elapsed_s
baseline,0.0,25557032,0.371,0.6125,2.5922903469981975
magnitude,0.05,23674568,0.125,0.256,2.1095602179993875
magnitude,0.1,21841816,0.0435,0.088,2.0512520859992946
magnitude,0.15,20077504,0.002,0.019,1.9413174769942998
magnitude,0.2,18236400,0.0,0.001,1.7130598399962764
magnitude,0.25,16494040,0.0,0.0,1.637079343003279
magnitude,0.3,14609064,0.0,0.013,1.5476122530017165
group_magnitude,0.05,23674568,0.125,0.256,2.235446320999472
group_magnitude,0.1,21841816,0.0435,0.088,2.0018832170026144
group_magnitude,0.15,20077504,0.002,0.019,1.7702264359977562
group_magnitude,0.2,18236400,0.0,0.001,1.6533909370045876
group_magnitude,0.25,16494040,0.0,0.0,1.5305366669999785
group_magnitude,0.3,14609064,0.0,0.013,1.5039165280031739
lamp,0.05,22963920,0.2985,0.509,2.1456804839981487
lamp,0.1,20308272,0.1595,0.321,2.126464984001359
lamp,0.15,17683424,0.0485,0.106,2.106181180999556
lamp,0.2,15328032,0.0165,0.049,1.9385219010000583
lamp,0.25,12874336,0.0095,0.0565,2.0787709950018325
lamp,0.3,10716608,0.0005,0.0225,1.7531604770047124
fpgm,0.05,23892264,0.083,0.171,2.377738170005614
fpgm,0.1,22077784,0.0215,0.068,2.2365369539984385
fpgm,0.15,20193368,0.0115,0.023,2.1172380540010636
fpgm,0.2,18389936,0.0115,0.029,2.0532238980013062
fpgm,0.25,16696976,0.0,0.002,1.942831724001735
fpgm,0.3,14738736,0.0005,0.0005,1.8793143820003024
taylor,0.05,23129192,0.0015,0.007,3.8514745669963304
taylor,0.1,20818160,0.0,0.0,3.8431031439977232
taylor,0.15,18588096,0.0,0.0,3.885467496998899
taylor,0.2,16597632,0.0,0.0,4.154654437996214
taylor,0.25,14587424,0.0,0.0,4.1563830339946435
taylor,0.3,12777056,0.0,0.003,3.9659658870004932
hessian,0.05,23254192,0.001,0.006,4.543513846001588
hessian,0.1,21059576,0.0,0.0,4.5510957289952785
hessian,0.15,18929088,0.0,0.0,4.449404147999303
hessian,0.2,16871688,0.0,0.0,3.857854980000411
hessian,0.25,14854088,0.0,0.0,3.823084119001578
hessian,0.3,13120752,0.0005,0.043,3.761642639998172
